id,timestamp,sepal_length,sepal_width,petal_length,petal_width,target
162,2024-02-15 05:47:46.278249,6.3,2.3,4.4,1.3,1
161,2024-02-15 05:47:45.275158,7.6,3.0,6.6,2.1,2
160,2024-02-15 05:47:44.272123,5.1,3.3,1.7,0.5,0
159,2024-02-15 05:47:43.268687,6.2,2.9,4.3,1.3,1
158,2024-02-15 05:47:42.263179,7.7,3.8,6.7,2.2,2
157,2024-02-15 05:47:41.260098,6.3,2.9,5.6,1.8,2
156,2024-02-15 05:47:40.256939,5.8,2.7,5.1,1.9,2
155,2024-02-15 05:47:39.253766,5.5,2.4,3.7,1.0,1
154,2024-02-15 05:47:38.250489,6.2,2.8,4.8,1.8,2
153,2024-02-15 05:47:37.247258,5.5,2.4,3.7,1.0,1
152,2024-02-15 05:47:36.244039,5.5,3.5,1.3,0.2,0
151,2024-02-15 05:47:35.240936,4.8,3.4,1.9,0.2,0
150,2024-02-15 05:47:34.237503,6.3,3.4,5.6,2.4,2
149,2024-02-15 05:47:33.233076,6.3,2.3,4.4,1.3,1
148,2024-02-15 05:47:32.229418,5.8,2.7,4.1,1.0,1
147,2024-02-15 05:47:31.226050,4.6,3.4,1.4,0.3,0
146,2024-02-15 05:47:30.223039,6.3,3.3,6.0,2.5,2
145,2024-02-15 05:47:29.220001,6.5,3.0,5.8,2.2,2
144,2024-02-15 05:47:28.216908,6.0,3.4,4.5,1.6,1
143,2024-02-15 05:47:27.213096,6.7,3.0,5.2,2.3,2
142,2024-02-15 05:47:26.209946,7.7,2.8,6.7,2.0,2
141,2024-02-15 05:47:25.206668,6.0,2.9,4.5,1.5,1
140,2024-02-15 05:47:24.203408,6.3,2.8,5.1,1.5,2
139,2024-02-15 05:47:23.200286,6.3,3.3,6.0,2.5,2
138,2024-02-15 05:47:22.197211,5.7,3.8,1.7,0.3,0
137,2024-02-15 05:47:21.194053,5.9,3.2,4.8,1.8,1
136,2024-02-15 05:47:20.190982,6.7,3.0,5.2,2.3,2
135,2024-02-15 05:47:19.187854,4.9,3.6,1.4,0.1,0
134,2024-02-15 05:47:18.184609,5.7,3.8,1.7,0.3,0
133,2024-02-15 05:47:17.181467,5.5,2.4,3.8,1.1,1
132,2024-02-15 05:47:16.178224,7.2,3.0,5.8,1.6,2
131,2024-02-15 05:47:15.174735,5.0,3.4,1.5,0.2,0
130,2024-02-15 05:47:14.171423,6.7,3.3,5.7,2.1,2
129,2024-02-15 05:47:13.168401,5.4,3.9,1.3,0.4,0
128,2024-02-15 05:47:12.164673,5.9,3.2,4.8,1.8,1
127,2024-02-15 05:47:11.161504,6.8,2.8,4.8,1.4,1
126,2024-02-15 05:47:10.158328,5.2,4.1,1.5,0.1,0
125,2024-02-15 05:47:09.155092,5.7,2.9,4.2,1.3,1
124,2024-02-15 05:47:08.151834,6.5,3.0,5.2,2.0,2
123,2024-02-15 05:47:07.148252,6.7,3.1,4.4,1.4,1
122,2024-02-15 05:47:06.144495,6.7,3.0,5.2,2.3,2
121,2024-02-15 05:47:05.141325,5.4,3.7,1.5,0.2,0
120,2024-02-15 05:47:04.138195,5.5,2.3,4.0,1.3,1
119,2024-02-15 05:47:03.133297,5.0,3.3,1.4,0.2,0
118,2024-02-15 05:47:02.128880,6.4,3.2,5.3,2.3,2
117,2024-02-15 05:47:01.125730,6.0,2.7,5.1,1.6,1
116,2024-02-15 05:47:00.122633,5.0,3.0,1.6,0.2,0
115,2024-02-15 05:46:59.116472,6.1,2.8,4.7,1.2,1
114,2024-02-15 05:46:58.110052,5.7,4.4,1.5,0.4,0
113,2024-02-15 05:46:57.106709,4.7,3.2,1.3,0.2,0
112,2024-02-15 05:46:56.101511,6.7,3.3,5.7,2.5,2
111,2024-02-15 05:46:55.098180,5.5,2.6,4.4,1.2,1
110,2024-02-15 05:46:54.094878,6.7,3.1,4.4,1.4,1
109,2024-02-15 05:46:53.091316,7.2,3.0,5.8,1.6,2
108,2024-02-15 05:46:52.088667,6.6,2.9,4.6,1.3,1
107,2024-02-15 05:46:51.085440,4.4,2.9,1.4,0.2,0
106,2024-02-15 05:46:50.081436,7.2,3.6,6.1,2.5,2
105,2024-02-15 05:46:49.077961,7.2,3.0,5.8,1.6,2
104,2024-02-15 05:46:48.074630,5.5,4.2,1.4,0.2,0
103,2024-02-15 05:46:47.072407,5.0,3.5,1.3,0.3,0
102,2024-02-15 05:46:46.070047,6.4,2.8,5.6,2.1,2
101,2024-02-15 05:46:45.066849,4.9,3.1,1.5,0.1,0
100,2024-02-15 05:46:44.063487,7.9,3.8,6.4,2.0,2
99,2024-02-15 05:46:43.059895,6.5,3.0,5.2,2.0,2
98,2024-02-15 05:46:42.056481,5.2,2.7,3.9,1.4,1
97,2024-02-15 05:46:41.044115,5.4,3.0,4.5,1.5,1
96,2024-02-15 05:46:40.040755,6.4,3.2,5.3,2.3,2
95,2024-02-15 05:46:39.037564,7.3,2.9,6.3,1.8,2
94,2024-02-15 05:46:38.034468,4.8,3.0,1.4,0.1,0
93,2024-02-15 05:46:37.030834,5.7,2.8,4.5,1.3,1
92,2024-02-15 05:46:36.027597,6.5,3.2,5.1,2.0,2
91,2024-02-15 05:46:35.024503,5.0,2.0,3.5,1.0,1
90,2024-02-15 05:46:34.020985,5.5,2.6,4.4,1.2,1
89,2024-02-15 05:46:33.017583,5.7,2.8,4.1,1.3,1
88,2024-02-15 05:46:32.014359,4.5,2.3,1.3,0.3,0
87,2024-02-15 05:46:31.011180,5.2,2.7,3.9,1.4,1
86,2024-02-15 05:46:30.008108,4.6,3.4,1.4,0.3,0
85,2024-02-15 05:46:29.005029,6.4,2.8,5.6,2.2,2
84,2024-02-15 05:46:28.001958,5.7,3.0,4.2,1.2,1
83,2024-02-15 05:46:26.998017,4.9,2.4,3.3,1.0,1
82,2024-02-15 05:46:25.994946,6.5,3.0,5.5,1.8,2
81,2024-02-15 05:46:24.991491,5.1,2.5,3.0,1.1,1
80,2024-02-15 05:46:23.988258,6.5,2.8,4.6,1.5,1
79,2024-02-15 05:46:22.984590,6.1,2.8,4.0,1.3,1
78,2024-02-15 05:46:21.981540,6.8,3.2,5.9,2.3,2
77,2024-02-15 05:46:20.978305,6.3,2.3,4.4,1.3,1
76,2024-02-15 05:46:19.975282,7.7,2.8,6.7,2.0,2
75,2024-02-15 05:46:18.972174,6.3,3.3,6.0,2.5,2
74,2024-02-15 05:46:17.969064,6.3,2.3,4.4,1.3,1
