id,timestamp,sepal_length,sepal_width,petal_length,petal_width,target
172,2024-02-16 03:31:51.829956,5.7,2.9,4.2,1.3,1
171,2024-02-16 03:31:50.826673,6.3,2.7,4.9,1.8,2
170,2024-02-16 03:31:49.823165,5.7,2.9,4.2,1.3,1
169,2024-02-16 03:31:48.819961,4.9,3.0,1.4,0.2,0
168,2024-02-16 03:31:47.816843,6.3,2.9,5.6,1.8,2
167,2024-02-16 03:31:46.811855,6.2,2.2,4.5,1.5,1
166,2024-02-16 03:31:45.808312,5.0,3.0,1.6,0.2,0
165,2024-02-16 03:31:44.805009,4.9,3.6,1.4,0.1,0
164,2024-02-16 03:31:43.800761,6.3,2.5,5.0,1.9,2
163,2024-02-16 03:31:42.797597,4.9,3.1,1.5,0.2,0
162,2024-02-16 03:31:41.793438,6.1,2.6,5.6,1.4,2
161,2024-02-16 03:31:40.790289,6.8,3.0,5.5,2.1,2
160,2024-02-16 03:31:39.786634,6.3,2.9,5.6,1.8,2
159,2024-02-16 03:31:38.783465,5.4,3.7,1.5,0.2,0
158,2024-02-16 03:31:37.780109,4.9,3.6,1.4,0.1,0
157,2024-02-16 03:31:36.777005,5.9,3.2,4.8,1.8,1
156,2024-02-16 03:31:35.773813,7.7,2.6,6.9,2.3,2
155,2024-02-16 03:31:34.770702,5.5,2.4,3.7,1.0,1
154,2024-02-16 03:31:33.767514,4.7,3.2,1.6,0.2,0
153,2024-02-16 03:31:32.761698,4.8,3.0,1.4,0.1,0
152,2024-02-16 03:31:31.758422,5.8,2.8,5.1,2.4,2
151,2024-02-16 03:31:30.755149,4.9,2.5,4.5,1.7,2
150,2024-02-16 03:31:29.751346,6.0,2.7,5.1,1.6,1
149,2024-02-16 03:31:28.748185,6.4,3.1,5.5,1.8,2
148,2024-02-16 03:31:27.744669,6.3,2.5,5.0,1.9,2
147,2024-02-16 03:31:26.741416,7.7,3.8,6.7,2.2,2
146,2024-02-16 03:31:25.737862,5.0,3.5,1.3,0.3,0
145,2024-02-16 03:31:24.734728,5.9,3.0,4.2,1.5,1
144,2024-02-16 03:31:23.731343,5.7,2.9,4.2,1.3,1
143,2024-02-16 03:31:22.727905,5.8,2.8,5.1,2.4,2
142,2024-02-16 03:31:21.724522,5.9,3.0,4.2,1.5,1
141,2024-02-16 03:31:20.721379,6.8,3.2,5.9,2.3,2
140,2024-02-16 03:31:19.718263,5.5,4.2,1.4,0.2,0
139,2024-02-16 03:31:18.714746,5.3,3.7,1.5,0.2,0
138,2024-02-16 03:31:17.710799,4.7,3.2,1.6,0.2,0
137,2024-02-16 03:31:16.707612,5.5,4.2,1.4,0.2,0
136,2024-02-16 03:31:15.704380,5.1,3.4,1.5,0.2,0
135,2024-02-16 03:31:14.701342,5.9,3.0,4.2,1.5,1
134,2024-02-16 03:31:13.695641,4.9,3.1,1.5,0.2,0
133,2024-02-16 03:31:12.691157,6.7,3.1,4.4,1.4,1
132,2024-02-16 03:31:11.687403,4.7,3.2,1.6,0.2,0
131,2024-02-16 03:31:10.684086,5.5,2.4,3.7,1.0,1
130,2024-02-16 03:31:09.681024,5.1,2.5,3.0,1.1,1
129,2024-02-16 03:31:08.677878,5.9,3.0,5.1,1.8,2
128,2024-02-16 03:31:07.674706,6.8,3.2,5.9,2.3,2
127,2024-02-16 03:31:06.671463,6.4,2.7,5.3,1.9,2
126,2024-02-16 03:31:05.667666,5.5,4.2,1.4,0.2,0
125,2024-02-16 03:31:04.661679,6.4,2.9,4.3,1.3,1
124,2024-02-16 03:31:03.657809,5.1,3.4,1.5,0.2,0
123,2024-02-16 03:31:02.654728,5.5,2.5,4.0,1.3,1
122,2024-02-16 03:31:01.651408,6.3,2.5,5.0,1.9,2
121,2024-02-16 03:31:00.648214,4.4,2.9,1.4,0.2,0
120,2024-02-16 03:30:59.644744,6.3,3.3,6.0,2.5,2
119,2024-02-16 03:30:58.641541,4.9,3.0,1.4,0.2,0
118,2024-02-16 03:30:57.638378,6.2,2.2,4.5,1.5,1
117,2024-02-16 03:30:56.635144,4.6,3.4,1.4,0.3,0
116,2024-02-16 03:30:55.631886,7.0,3.2,4.7,1.4,1
115,2024-02-16 03:30:54.626798,7.4,2.8,6.1,1.9,2
114,2024-02-16 03:30:53.623182,6.3,2.5,5.0,1.9,2
113,2024-02-16 03:30:52.619998,4.6,3.6,1.0,0.2,0
112,2024-02-16 03:30:51.615677,6.0,2.2,5.0,1.5,2
111,2024-02-16 03:30:50.611542,6.0,2.2,4.0,1.0,1
110,2024-02-16 03:30:49.607864,6.8,2.8,4.8,1.4,1
109,2024-02-16 03:30:48.604684,6.7,2.5,5.8,1.8,2
108,2024-02-16 03:30:47.601717,5.5,2.3,4.0,1.3,1
107,2024-02-16 03:30:46.598276,4.7,3.2,1.3,0.2,0
106,2024-02-16 03:30:45.594968,6.7,3.0,5.0,1.7,1
105,2024-02-16 03:30:44.591458,4.9,2.5,4.5,1.7,2
104,2024-02-16 03:30:43.588175,7.7,2.8,6.7,2.0,2
103,2024-02-16 03:30:42.585036,5.6,3.0,4.1,1.3,1
102,2024-02-16 03:30:41.581747,6.5,2.8,4.6,1.5,1
101,2024-02-16 03:30:40.578310,4.4,3.0,1.3,0.2,0
100,2024-02-16 03:30:39.575074,4.9,3.1,1.5,0.2,0
99,2024-02-16 03:30:38.571704,7.7,2.8,6.7,2.0,2
98,2024-02-16 03:30:37.568452,6.4,3.2,5.3,2.3,2
97,2024-02-16 03:30:36.565290,6.0,2.9,4.5,1.5,1
96,2024-02-16 03:30:35.559951,6.9,3.2,5.7,2.3,2
95,2024-02-16 03:30:34.556172,5.0,3.2,1.2,0.2,0
94,2024-02-16 03:30:33.552255,5.5,2.5,4.0,1.3,1
93,2024-02-16 03:30:32.548952,5.5,2.5,4.0,1.3,1
92,2024-02-16 03:30:31.545337,4.4,3.2,1.3,0.2,0
91,2024-02-16 03:30:30.541273,5.1,3.5,1.4,0.3,0
90,2024-02-16 03:30:29.537925,6.6,3.0,4.4,1.4,1
89,2024-02-16 03:30:28.534563,4.5,2.3,1.3,0.3,0
88,2024-02-16 03:30:27.531176,5.7,2.6,3.5,1.0,1
87,2024-02-16 03:30:26.527796,6.5,3.0,5.5,1.8,2
86,2024-02-16 03:30:25.524627,6.1,2.6,5.6,1.4,2
85,2024-02-16 03:30:24.521349,6.4,2.7,5.3,1.9,2
84,2024-02-16 03:30:23.518222,6.0,2.2,5.0,1.5,2
