id,timestamp,sepal_length,sepal_width,petal_length,petal_width,target
1402,2025-11-19 07:00:04.913365,5.9,3.0,4.2,1.5,1
1401,2025-11-19 07:00:03.911174,5.0,2.3,3.3,1.0,1
1400,2025-11-19 07:00:02.908531,7.2,3.2,6.0,1.8,2
1399,2025-11-19 07:00:01.906326,5.8,2.7,3.9,1.2,1
1398,2025-11-19 07:00:00.904112,6.4,3.2,5.3,2.3,2
1397,2025-11-19 06:59:59.901892,5.5,2.3,4.0,1.3,1
1396,2025-11-19 06:59:58.899708,5.9,3.0,4.2,1.5,1
1395,2025-11-19 06:59:57.897303,6.5,3.0,5.2,2.0,2
1394,2025-11-19 06:59:56.894927,5.9,3.0,5.1,1.8,2
1393,2025-11-19 06:59:55.891153,6.7,3.1,4.7,1.5,1
1392,2025-11-19 06:59:54.888658,6.8,3.0,5.5,2.1,2
1391,2025-11-19 06:59:53.886224,5.5,2.5,4.0,1.3,1
1390,2025-11-19 06:59:52.884138,7.3,2.9,6.3,1.8,2
1389,2025-11-19 06:59:51.881815,5.5,2.4,3.7,1.0,1
1388,2025-11-19 06:59:50.879679,6.0,3.0,4.8,1.8,2
1387,2025-11-19 06:59:49.877387,6.3,3.4,5.6,2.4,2
1386,2025-11-19 06:59:48.875027,6.0,2.2,4.0,1.0,1
1385,2025-11-19 06:59:47.872044,4.4,3.2,1.3,0.2,0
1384,2025-11-19 06:59:46.869482,6.8,2.8,4.8,1.4,1
1383,2025-11-19 06:59:45.867184,5.0,3.2,1.2,0.2,0
1382,2025-11-19 06:59:44.864875,6.7,3.3,5.7,2.5,2
1381,2025-11-19 06:59:43.862694,5.5,2.4,3.7,1.0,1
1380,2025-11-19 06:59:42.861337,6.7,3.0,5.2,2.3,2
1379,2025-11-19 06:59:41.859040,5.6,2.9,3.6,1.3,1
1378,2025-11-19 06:59:40.856940,5.3,3.7,1.5,0.2,0
1377,2025-11-19 06:59:39.854776,6.0,2.2,5.0,1.5,2
1376,2025-11-19 06:59:38.852512,7.3,2.9,6.3,1.8,2
1375,2025-11-19 06:59:37.850284,6.8,3.2,5.9,2.3,2
1374,2025-11-19 06:59:36.843355,5.7,3.8,1.7,0.3,0
1373,2025-11-19 06:59:35.840451,5.6,3.0,4.1,1.3,1
1372,2025-11-19 06:59:34.838156,4.9,3.0,1.4,0.2,0
1371,2025-11-19 06:59:33.835795,6.1,3.0,4.6,1.4,1
1370,2025-11-19 06:59:32.833666,6.1,3.0,4.9,1.8,2
1369,2025-11-19 06:59:31.830578,6.7,3.0,5.2,2.3,2
1368,2025-11-19 06:59:30.827972,6.5,3.0,5.8,2.2,2
1367,2025-11-19 06:59:29.825724,5.4,3.9,1.7,0.4,0
1366,2025-11-19 06:59:28.823352,5.8,2.7,5.1,1.9,2
1365,2025-11-19 06:59:27.821215,6.1,3.0,4.6,1.4,1
1364,2025-11-19 06:59:26.818926,4.8,3.1,1.6,0.2,0
1363,2025-11-19 06:59:25.816638,6.9,3.2,5.7,2.3,2
1362,2025-11-19 06:59:24.814442,5.9,3.0,5.1,1.8,2
1361,2025-11-19 06:59:23.812179,5.5,2.3,4.0,1.3,1
1360,2025-11-19 06:59:22.809751,7.7,3.0,6.1,2.3,2
1359,2025-11-19 06:59:21.806524,6.1,2.8,4.0,1.3,1
1358,2025-11-19 06:59:20.803509,5.1,3.8,1.6,0.2,0
1357,2025-11-19 06:59:19.801123,6.4,3.1,5.5,1.8,2
1356,2025-11-19 06:59:18.798905,4.3,3.0,1.1,0.1,0
1355,2025-11-19 06:59:17.795618,6.5,3.0,5.8,2.2,2
1354,2025-11-19 06:59:16.793413,5.6,3.0,4.5,1.5,1
1353,2025-11-19 06:59:15.791005,7.6,3.0,6.6,2.1,2
1352,2025-11-19 06:59:14.788727,4.6,3.4,1.4,0.3,0
1351,2025-11-19 06:59:13.786625,6.2,2.8,4.8,1.8,2
1350,2025-11-19 06:59:12.784997,4.8,3.1,1.6,0.2,0
1349,2025-11-19 06:59:11.782080,6.5,3.0,5.5,1.8,2
1348,2025-11-19 06:59:10.777112,6.0,2.9,4.5,1.5,1
1347,2025-11-19 06:59:09.774989,5.3,3.7,1.5,0.2,0
1346,2025-11-19 06:59:08.772591,7.7,2.8,6.7,2.0,2
1345,2025-11-19 06:59:07.770279,4.6,3.1,1.5,0.2,0
1344,2025-11-19 06:59:06.768016,5.0,2.0,3.5,1.0,1
1343,2025-11-19 06:59:05.765661,4.6,3.4,1.4,0.3,0
1342,2025-11-19 06:59:04.762795,5.8,2.8,5.1,2.4,2
1341,2025-11-19 06:59:03.760159,7.7,2.6,6.9,2.3,2
1340,2025-11-19 06:59:02.757416,6.6,3.0,4.4,1.4,1
1339,2025-11-19 06:59:01.754907,6.7,3.0,5.0,1.7,1
1338,2025-11-19 06:59:00.752354,6.0,2.7,5.1,1.6,1
1337,2025-11-19 06:58:59.750034,7.2,3.6,6.1,2.5,2
1336,2025-11-19 06:58:58.747874,6.9,3.1,5.4,2.1,2
1335,2025-11-19 06:58:57.745669,6.3,3.3,6.0,2.5,2
1334,2025-11-19 06:58:56.743414,6.7,3.0,5.2,2.3,2
1333,2025-11-19 06:58:55.741140,5.1,2.5,3.0,1.1,1
1332,2025-11-19 06:58:54.737456,6.8,3.2,5.9,2.3,2
1331,2025-11-19 06:58:53.734940,5.9,3.0,4.2,1.5,1
1330,2025-11-19 06:58:52.732409,6.1,3.0,4.6,1.4,1
1329,2025-11-19 06:58:51.730229,6.9,3.1,5.4,2.1,2
1328,2025-11-19 06:58:50.728027,6.5,3.2,5.1,2.0,2
